"Group","Metrics","Value"
"Velocity","Velocity(Story Point)","17.0"
"Velocity","Throughput(Cards Count)","9"
"Cycle time","Average cycle time(days/storyPoint)","4.86"
"Cycle time","Average cycle time(days/card)","9.18"
"Cycle time","Total  time / Total cycle time","10.92"
"Cycle time","Total development time / Total cycle time","37.55"
"Cycle time","Total block time / Total cycle time","19.96"
"Cycle time","Total review time / Total cycle time","22.47"
"Cycle time","Total testing time / Total cycle time","9.10"
"Cycle time","Average  time(days/storyPoint)","0.53"
"Cycle time","Average  time(days/card)","1.00"
"Cycle time","Average development time(days/storyPoint)","1.83"
"Cycle time","Average development time(days/card)","3.45"
"Cycle time","Average block time(days/storyPoint)","0.97"
"Cycle time","Average block time(days/card)","1.83"
"Cycle time","Average review time(days/storyPoint)","1.09"
"Cycle time","Average review time(days/card)","2.06"
"Cycle time","Average testing time(days/storyPoint)","0.44"
"Cycle time","Average testing time(days/card)","0.84"
"Classifications","Issue Type / Spike","11.11"
"Classifications","Issue Type / Task","88.89"
"Classifications","Parent / ADM-322","66.67"
"Classifications","Parent / ADM-279","22.22"
"Classifications","Parent / ADM-319","11.11"
"Classifications","Story testing-2 / None","100.00"
"Classifications","Story testing-1 / 1.0","88.89"
"Classifications","Story testing-1 / None","11.11"
"Classifications","Sprint / Sprint 26","11.11"
"Classifications","Sprint / Sprint 27","100.00"
"Classifications","Sprint / Sprint 28","88.89"
"Classifications","Project / Auto Dora Metrics","100.00"
"Classifications","Flagged / None","100.00"
"Classifications","Fix versions / None","100.00"
"Classifications","Priority / Medium","100.00"
"Classifications","Partner / None","100.00"
"Classifications","Labels / Stream1","44.44"
"Classifications","Labels / Stream2","55.56"
"Classifications","Time tracking / None","100.00"
"Classifications","Story point estimate / 1.0","44.44"
"Classifications","Story point estimate / 2.0","22.22"
"Classifications","Story point estimate / 3.0","33.33"
"Classifications","QA / Weiran Sun","11.11"
"Classifications","QA / None","88.89"
"Classifications","Feature/Operation / None","100.00"
"Classifications","Assignee / heartbeat user","44.44"
"Classifications","Assignee / Junbo Dai","11.11"
"Classifications","Assignee / Xinyi Wang","11.11"
"Classifications","Assignee / Weiran Sun","11.11"
"Classifications","Assignee / Xuebing Li","11.11"
"Classifications","Assignee / Yunsong Yang","11.11"
"Rework","Total rework times","11"
"Rework","Total rework cards","6"
"Rework","Rework cards ratio(Total rework cards/Throughput)","0.6667"
"Deployment frequency","Heartbeat / Deploy prod / Deployment frequency(Deployments/Day)","6.60"
"Lead time for changes","Heartbeat / Deploy prod / PR Lead Time","6.12"
"Lead time for changes","Heartbeat / Deploy prod / Pipeline Lead Time","0.50"
"Lead time for changes","Heartbeat / Deploy prod / Total Lead Time","6.62"
"Dev change failure rate","Heartbeat / Deploy prod / Dev change failure rate","0.1750"
"Dev mean time to recovery","Heartbeat / Deploy prod / Dev mean time to recovery","1.90"
